domain,site,description
langchain.com,docs.langchain.com,LangChain documentation for building applications with LLMs through composability
langgraph.com,langchain-ai.github.io/langgraph,LangGraph documentation for building stateful multi-actor applications with LLMs
crewai.com,docs.crewai.com,CrewAI documentation for building AI agent crews and multi-agent systems
autogen.com,microsoft.github.io/autogen,AutoGen documentation for building multi-agent conversational AI systems
openai.com,github.com/openai/swarm,OpenAI Swarm documentation for lightweight multi-agent orchestration
agentops.ai,docs.agentops.ai,AgentOps documentation for testing debugging and deploying AI agents and LLM apps
llamaindex.ai,docs.llamaindex.ai,LlamaIndex documentation for building LLM-powered agents over your data
haystack.deepset.ai,docs.haystack.deepset.ai,Haystack documentation for building production-ready LLM applications and RAG pipelines  
dspy.ai,dspy-docs.vercel.app,DSPy documentation for programming language models declaratively
microsoft.com,learn.microsoft.com/semantic-kernel,Semantic Kernel documentation for building AI agents with C# Python or Java
wandb.ai,docs.wandb.ai/weave,Weights & Biases Weave documentation for LLMOps and AI application development
restack.io,docs.restack.io,Restack documentation for building reliable and accurate AI agents with workflows
phidata.com,docs.phidata.com,Phidata documentation for building AI assistants with memory knowledge and tools
mem0.ai,docs.mem0.ai,Mem0 documentation for building personalized AI systems with memory 